Nummer;Latitude;Longitude;Name;Kurztext;Start im Jahr;Ende im Jahr;Stadt;Postleitzahl;Straﬂe;Homepage
2062;48,291153;14,296969;Hotspot Linz - Theater Phˆnix;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2008;0;Linz;4020;Wiener Straﬂe 25;http://www.hotspotlinz.at
2063;48,310808;14,280935;Hotspot Linz - Kinder und Jugendservices Bernaschekplatz;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2007;0;Linz;4040;Rudolfstraﬂe 18;http://www.hotspotlinz.at
2064;48,31225;14,288;Hotspot Linz - Urfahraner Jahrmarktgel‰nde;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2007;0;Linz;4040;Urfahrmarkt;http://www.hotspotlinz.at
2065;48,304698;14,303232;Hotspot Linz - Vereinszentrum Weiﬂenwolffstraﬂe;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2006;0;Linz;4020;Weiﬂenwolffstraﬂe 17a;http://www.hotspotlinz.at
2066;48,272986;14,29017;Hotspot Linz - Volkshaus Bindermichl;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2006;0;Linz;4020;Uhlandgasse 5;http://www.hotspotlinz.at
2067;48,331412;14,314636;Hotspot Linz - Volkshaus Dornach/Auhof;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2006;0;Linz;4040;Niedermayrweg 7;http://www.hotspotlinz.at
2068;48,243961;14,329328;Hotspot Linz - Volkshaus Ebelsberg;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2006;0;Linz;4030;Kremsm¸nsterer Straﬂe 1-3;http://www.hotspotlinz.at
2069;48,333174;14,293092;Hotspot Linz - Volkshaus Ferdinand-Markl-Straﬂe;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2006;0;Linz;4040;Ferdinand-Markl-Straﬂe  4;http://www.hotspotlinz.at
2070;48,291948;14,315354;Hotspot Linz - Volkshaus Franckviertel;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2006;0;Linz;4020;Franckstraﬂe  68;http://www.hotspotlinz.at
2071;48,285316;14,281822;Hotspot Linz - Volkshaus Froschberg;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2006;0;Linz;4020;Kudlichstraﬂe  21;http://www.hotspotlinz.at
2072;48,330243;14,284284;Hotspot Linz - Volkshaus Harbach;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2006;0;Linz;4040;Im Bachlfeld  31;http://www.hotspotlinz.at
2073;48,286334;14,296731;Hotspot Linz - Volkshaus Kandlheim;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2006;0;Linz;4020;Edlbacherstraﬂe  1;http://www.hotspotlinz.at
2075;48,251205;14,293862;Hotspot Linz - Volkshaus Neue Heimat;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2006;0;Linz;4020;Vogelf‰ngerplatz 4;http://www.hotspotlinz.at
2076;48,249833;14,308583;Hotspot Linz - Volkshaus Auwiesen;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2006;0;Linz;4030;W¸stenrotplatz 2-3;http://www.hotspotlinz.at
2077;48,290821;14,28819;Hotspot Linz - Wissensturm;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2007;0;Linz;4020;K‰rntnerstraﬂe 26;http://www.hotspotlinz.at
3000;48,312216;14,298971;Hotspot Linz - Tabakfarbik;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2011;0;Linz;4020;Gruberstraﬂe 1;http://www.hotspotlinz.at
3001;48,300272;14,292134;Hotspot Linz - Citypark;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2010;0;Linz;4020;Johann-Konrad-Vogel-Straﬂe 47;http://www.hotspotlinz.at
3002;48,295098;14,313859;Hotspot Linz - Wimhˆlzelplatz;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2011;0;Linz;4020;Wimhˆlzelstraﬂe 19;http://www.hotspotlinz.at
3003;48,302732;14,289938;Hotspot Linz - Hˆhenrausch2;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2011;2011;Linz;4020;OK-Platz 1;http://www.hotspotlinz.at
3004;48,252941;14,313121;Hotspot Linz - Volkshaus Kleinm¸nchen;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2008;0;Linz;4030;Dauphinestraﬂe 19;http://www.hotspotlinz.at
3005;48,252941;14,313121;Hotspot Linz - Volkshaus Kleinm¸nchen;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2008;0;Linz;4030;Dauphinestraﬂe 19;http://www.hotspotlinz.at
3006;48,268015;14,297527;Hotspot Linz - Sportpark Lissfeld ;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2010;0;Linz;4030;Hausleitnerweg 105;http://www.hotspotlinz.at
3007;48,304696;14,287524;Hotspot Linz - Promenade;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2009;0;Linz;4020;Promenade;http://www.hotspotlinz.at
3008;48,306959;14,290245;Hotspot Linz - Pfarrplatz;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2010;0;Linz;4020;Pfarrplatz;http://www.hotspotlinz.at
3009;48,307083;14,284773;Hotspot Linz - Obere Donaul‰nde;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2009;0;Linz;4020;Obere Donaul‰nde;http://www.hotspotlinz.at
3010;49,304113;15,291449;Hotspot Linz - Nordico - Stadtmuseum Linz, gesamter Vorplatz;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2006;0;Linz;4020;Dametzstraﬂe 23;http://www.hotspotlinz.at
3011;48,304113;14,291449;Hotspot Linz - Nordico - Stadtmuseum Linz, Cafe;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2006;0;Linz;4020;Dametzstraﬂe 23;http://www.hotspotlinz.at
3012;48,30982;14,283298;Hotspot Linz - Neues Rathaus, B¸rgerserviceCenter;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2006;0;Linz;4040;Hauptstraﬂe 1-5;http://www.hotspotlinz.at
3013;48,310257;14,282887;Hotspot Linz - Neues Rathaus, Archiv der Stadt Linz - Lesesaal;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2006;0;Linz;4040;Hauptstraﬂe 1-5;http://www.hotspotlinz.at
3014;48,269267;14,295769;Hotspot Linz - Landschaftspark Bindermichl-Spallerhof;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2009;0;Linz;4020;Bellevuepark (s¸dlicher Teil);http://www.hotspotlinz.at
3016;48,292984;14,274006;Hotspot Linz - Jugendg‰stehaus ;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2009;0;Linz;4020;Stanglhofweg 3;http://www.hotspotlinz.at
3017;48,300641;14,294288;Hotspot Linz - Hessenplatz;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2008;0;Linz;4020;Hessenplatz;http://www.hotspotlinz.at
3018;48,300641;14,294288;Hotspot Linz - Hessenplatz;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2008;0;Linz;4020;Hessenplatz;http://www.hotspotlinz.at
3019;48,306724;14,29182;Hotspot Linz - Herbert-Bayer-Platz;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2009;0;Linz;4020;Herbert-Bayer-Platz;http://www.hotspotlinz.at
3020;48,290595;14,290292;Hotspot Linz - Hauptbahnhof- Park;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2009;0;Linz;4020;Bahnhofplatz;http://www.hotspotlinz.at
3021;48,313441;14,295429;Hotspot Linz - Donaul‰nde, Brucknerhaus bis Eisenbahnbr¸cke;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2007;0;Linz;4020;Untere Donaul‰nde;http://www.hotspotlinz.at
3021;48,292689;14,292585;Hotspot Linz - Hauptbahnhof - Busterminal;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2009;0;Linz;4020;Bahnhofplatz 1;http://www.hotspotlinz.at
3022;48,306386;14,283196;Hotspot Linz - Atelierhaus Salzamt;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2009;0;Linz;4020;Obere Donaul‰nde 15;http://www.hotspotlinz.at
3023;48,306386;14,283196;Hotspot Linz - Atelierhaus Salzamt;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2009;0;Linz;4020;Obere Donaul‰nde 15;http://www.hotspotlinz.at
3024;48,309727;14,284314;Hotspot Linz - Ars Electronica Center - Platz;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2009;0;Linz;4040;Ars-Electronica-Straﬂe 1;http://www.hotspotlinz.at
3685;48,309897;14,291011;Hotspot Linz - Donaul‰nde, Lentos bis Brucknerhaus;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2007;0;Linz;4020;Untere Donaul‰nde;http://www.hotspotlinz.at
3686;48,304111;14,291444;Hotspot Linz - Nordico - Stadtmuseum, Foyer;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2006;0;Linz;4020;Dametzstraﬂe 23;http://www.hotspotlinz.at
3687;48,297889;14,291083;Hotspot Linz - Schillerpark;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2006;0;Linz;4020;Schillerpark;http://www.hotspotlinz.at
3688;48,270917;14,282889;Hotspot Linz - Stadtbibliothek Keferfeld/Oed;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2006;0;Linz;4020;Landwiedstraﬂe 65;http://www.hotspotlinz.at
4000;48,303489;14,297389;Hotspot Linz - Sozialverein B37;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2012;0;Linz;4020;Bethlehemstraﬂe 37;http://www.hotspotlinz.at
4001;48,302568;14,305142;Hotspot Linz - Rotes Kreuz Blutzentrale;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2012;0;Linz;4020;Kaplanhofviertel;http://www.hotspotlinz.at
4002;48,293509;14,275965;Hotspot Linz - Linzer Stadion - (Aussenbereich);Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2012;0;Linz;4020;Roseggerstraﬂe 41;http://www.hotspotlinz.at
4003;48,293509;14,275965;Hotspot Linz - Linzer Stadion - (Aussenbereich);Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2012;0;Linz;4020;Roseggerstraﬂe 41;http://www.hotspotlinz.at
4004;48,293341;14,276232;Hotspot Linz - Linzer Stadion - (Aussenbereich);Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2012;0;Linz;4020;Roseggerstraﬂe 41;http://www.hotspotlinz.at
4005;48,293341;14,276232;Hotspot Linz - Linzer Stadion - (Aussenbereich);Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2012;0;Linz;4020;Roseggerstraﬂe 41;http://www.hotspotlinz.at
4006;48,294114;14,276918;Hotspot Linz - Linzer Stadion - (Aussenbereich);Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2012;0;Linz;4020;Roseggerstraﬂe 41;http://www.hotspotlinz.at
4007;48,304793;14,299414;Hotspot Linz - Rotes Kreuz Zentrale;Hier ist nur einer von vielen Hotspot-Standorten in Linz, an dem gratis gesurft werden kann. Der Ausbau der Hotspots mit kosten- und drahtlosem Internetzugang wird vom Kabelnetzbetreiber LIWEST auf Initiative der Stadt Linz betrieben.;2013;0;Linz;4020;Kˆrnerstraﬂe 28;http://www.hotspotlinz.at
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;?;
