FID,ID,GEOMETRIE,NAME,ANGEBOT,GROESSE_M2,HOMEPAGE,NUMMER_INTERN
spielplatz.gisdb.21985,gisdb.21985,POINT (47.81045617907781 13.051271922651521),Spielplatz Dr.-Hans-Lechner-Park,"Spielgeräte, Fußball, Tischtennis, Beach Volleyball, Boule, WC",1800,http://www.stadt-salzburg.at/internet/leben_in_salzburg/kinder_jugend/spielplaetze/spielplaetze_uebersicht/spielplaetze_schallmoos/dr_hans_lechner_park_409834.htm,3102
spielplatz.gisdb.21986,gisdb.21986,POINT (47.76284847300774 13.065566677515642),Spielplatz Hellbrunn Schlosspark,"Spielgeräte, Streetball/Basketball, Spielwiese, WC",8000,http://www.stadt-salzburg.at/internet/leben_in_salzburg/kinder_jugend/spielplaetze/spielplaetze_uebersicht/spielplaetze_morzg/hellbrunn_schlosspark_407054.htm,3105
spielplatz.gisdb.22018,gisdb.22018,POINT (47.78525836974037 13.058716748597408),Spielplatz Hellbrunner Allee,"Spielgeräte, Fussball",1700,http://www.stadt-salzburg.at/internet/leben_in_salzburg/kinder_jugend/spielplaetze/spielplaetze_uebersicht/spielplaetze_morzg/hellbrunner_allee_407053.htm,4235
spielplatz.gisdb.22019,gisdb.22019,POINT (47.79479834923901 13.02513692835348),Spielplatz Huemerpark,Spielgeräte,3300,http://www.stadt-salzburg.at/internet/leben_in_salzburg/kinder_jugend/spielplaetze/spielplaetze_uebersicht/spielplaetze_maxglan/huemerpark_407030.htm,4236
spielplatz.gisdb.22020,gisdb.22020,POINT (47.81258826086586 13.028046944159815),Spielplatz Hüttenbergstraße,Spielgeräte,3500,http://www.stadt-salzburg.at/internet/leben_in_salzburg/kinder_jugend/spielplaetze/spielplaetze_uebersicht/spielplaetze_lehen_nord_glanspitz/huettenbergstrasse_406923.htm,4237
spielplatz.gisdb.22021,gisdb.22021,POINT (47.792388329173164 13.066626722038652),Spielplatz Ignaz-Rieder-Kai,Spielgeräte,2300,http://www.stadt-salzburg.at/internet/leben_in_salzburg/kinder_jugend/spielplaetze/spielplaetze_uebersicht/kinderspielplaetze_in_aigen/ignaz_rieder_kai_406964.htm,4238
spielplatz.gisdb.21987,gisdb.21987,POINT (47.81500824399126 13.034786915370706),Spielplatz Lehener Park,"Spielgeräte, Streetball/Basketball, Volleyball, Spielwasser, Trinkwasser, WC",8300,http://www.stadt-salzburg.at/internet/leben_in_salzburg/kinder_jugend/spielplaetze/spielplaetze_uebersicht/spielplaetze_lehen_nord_glanspitz/lehener_park_405268.htm,3108
spielplatz.gisdb.21988,gisdb.21988,POINT (47.81300822378989 13.073896721280686),Spielplatz Minnesheimpark,"Spielgeräte, Streetball/Basketball, Trinkwasser, WC",2000,http://www.stadt-salzburg.at/internet/leben_in_salzburg/kinder_jugend/spielplaetze/spielplaetze_uebersicht/kinderspielplaetze_gnigl/minnesheimpark_406997.htm,3110
spielplatz.gisdb.22022,gisdb.22022,POINT (47.77543840685218 13.072366665554664),Spielplatz Johann-Elias-Straße,"Spielgeräte, Fussball, Streetball/Basketball, Tischtennis",5700,http://www.stadt-salzburg.at/internet/leben_in_salzburg/kinder_jugend/spielplaetze/spielplaetze_uebersicht/spielplaetze_morzg/johann_elias_strasse_407055.htm,4239
spielplatz.gisdb.22023,gisdb.22023,POINT (47.78042841501927 13.030106879904926),Spielplatz Josef-Moosbrucker-Weg,"Spielgeräte, ",600,http://www.stadt-salzburg.at/internet/leben_in_salzburg/kinder_jugend/spielplaetze/spielplaetze_uebersicht/spielplaetze_leopoldskron/josef_moosbrucker_weg_407021.htm,4241
spielplatz.gisdb.22024,gisdb.22024,POINT (47.81416827230307 13.00311706840273),Spielplatz Josef-Ressel-Straße,"Spielgeräte, Tischtennis",4300,http://www.stadt-salzburg.at/internet/leben_in_salzburg/kinder_jugend/spielplaetze/spielplaetze_uebersicht/spielplaetze_taxham/josef_ressel_strasse_407075.htm,4242
spielplatz.gisdb.22025,gisdb.22025,POINT (47.81608823400515 13.041006886857097),Spielplatz Julius-Haagn-Straße,Spielgeräte,1700,http://www.stadt-salzburg.at/internet/leben_in_salzburg/kinder_jugend/spielplaetze/spielplaetze_uebersicht/kinderspielplaetze_itzling/julius_haagn_strasse_345183.htm,4243
spielplatz.gisdb.21989,gisdb.21989,POINT (47.80483825365202 13.041166905353952),Zauberflötenspielplatz,"Spielgeräte, Kletterwand, Trinkwasser, WC",1500,http://www.stadt-salzburg.at/internet/leben_in_salzburg/kinder_jugend/spielplaetze/spielplaetze_uebersicht/spielplaetze_innere_stadt/zauberfloetenspielplatz_314726.htm,3111
spielplatz.gisdb.21990,gisdb.21990,POINT (47.83090817721265 13.021437007297493),Spielplatz Salzachsee Süd,Spielgeräte,2500,http://www.stadt-salzburg.at/internet/leben_in_salzburg/kinder_jugend/spielplaetze/spielplaetze_uebersicht/kinderspielplaetze_in_liefering/salzachsee_sued_406953.htm,3114
spielplatz.gisdb.21991,gisdb.21991,POINT (47.803338311620834 13.02025696654669),Spielplatz Stölzlpark,"Spielgeräte, Tischtennis, WC",12700,http://www.stadt-salzburg.at/internet/leben_in_salzburg/kinder_jugend/spielplaetze/spielplaetze_uebersicht/spielplaetze_maxglan/stoelzlpark_407028.htm,3115
